timestamp,user,client_ip,method,url,content_length,label
2026-05-08 19:10:39,user_03@enterprise.com,10.10.1.59,POST,http://localhost:8080/tienda1/publico/anadir.jsp,Content-Length: 70,0
2026-05-09 00:26:45,user_50@enterprise.com,10.10.1.50,POST,http://localhost:8080/tienda1/publico/caracteristicas.jsp,Content-Length: 4,0
2026-05-09 07:55:19,user_42@enterprise.com,10.10.1.54,GET,http://localhost:8080/tienda1/global/menum.jsp,,0
2026-05-09 15:02:36,user_42@enterprise.com,10.10.1.46,GET,http://localhost:8080/tienda1/miembros/imagenes/zarauz.jpg,,0
2026-05-10 01:23:51,user_24@enterprise.com,10.10.1.36,POST,http://localhost:8080/tienda1/publico/caracteristicas.jsp,Content-Length: 4,0
2026-05-10 02:02:00,user_37@enterprise.com,10.10.1.32,GET,http://localhost:8080/tienda1/miembros/salir.jsp,,0
2026-05-10 03:16:17,user_32@enterprise.com,10.10.1.55,POST,http://localhost:8080/tienda1/publico/caracteristicas.jsp,Content-Length: 4,0
2026-05-10 05:10:36,user_26@enterprise.com,10.10.1.25,POST,http://localhost:8080/tienda1/publico/entrar.jsp,Content-Length: 33,0
2026-05-11 03:14:29,user_41@enterprise.com,10.10.1.51,GET,http://localhost:8080/tienda1/miembros/index.jsp,,0
2026-05-13 03:05:55,user_37@enterprise.com,10.10.1.58,GET,http://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=doroteya&pwd=357rte0o&remember=off&B1=Entrar,,0
2026-05-14 04:34:53,user_20@enterprise.com,10.10.1.54,GET,http://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=procacci&password=a65esad0&nombre=Efr%E9n&apellidos=Conde&email=matterstock%409horas.np&dni=66866648J&direccion=Calle+Casta%F1os+90+&ciudad=Torre-Cardela&cp=25330&provincia=Guadalajara&ntc=4867284155125635&B1=Registrar,,0
2026-05-15 00:37:25,user_21@enterprise.com,10.10.1.10,GET,http://localhost:8080/tienda1/publico/carrito.jsp,,0
2026-05-15 18:32:02,user_05@enterprise.com,10.10.1.43,GET,http://localhost:8080/tienda1/imagenes/logo.gif,,0
2026-05-16 18:09:24,user_12@enterprise.com,10.10.1.48,GET,http://localhost:8080/tienda1/miembros/salir.jsp,,0
2026-05-17 13:44:39,user_45@enterprise.com,10.10.1.34,POST,http://localhost:8080/tienda1/publico/registro.jsp,Content-Length: 262,0
2026-05-17 18:20:48,user_39@enterprise.com,10.10.1.55,GET,http://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=joya&pwd=48dI48l92&remember=off&B1=Entrar,,0
2026-05-17 23:02:18,user_23@enterprise.com,10.10.1.59,GET,http://localhost:8080/tienda1/imagenes/nuestratierra.jpg,,0
2026-05-18 08:14:59,user_07@enterprise.com,10.10.1.35,POST,http://localhost:8080/tienda1/publico/caracteristicas.jsp,Content-Length: 4,0
2026-05-19 10:20:33,user_47@enterprise.com,10.10.1.35,POST,http://localhost:8080/tienda1/publico/autenticar.jsp,Content-Length: 61,0
2026-05-19 14:39:34,user_45@enterprise.com,10.10.1.14,POST,http://localhost:8080/tienda1/publico/anadir.jsp,Content-Length: 71,0
